id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
8697,Sydney Swans,7,2012-05-12,2012,A,Richmond Tigers,0.2 2.7 6.9 8.14,62,5.6 7.9 8.11 13.13,91,L,29,Melbourne Cricket Ground,40352.0,8,14,13,13
8698,Sydney Swans,8,2012-05-19,2012,H,Melbourne Demons,7.1 11.4 16.9 21.12,138,0.3 1.5 2.7 5.7,37,W,101,Sydney Cricket Ground,20818.0,21,12,5,7
8699,Sydney Swans,9,2012-05-26,2012,A,St Kilda Saints,4.4 5.4 8.6 12.11,83,3.1 8.7 14.14 16.15,111,L,28,Marvel Stadium,34737.0,12,11,16,15
8700,Sydney Swans,10,2012-06-03,2012,H,Western Bulldogs,9.0 10.5 16.9 20.12,132,1.1 3.1 4.5 5.10,40,W,92,Sydney Cricket Ground,13505.0,20,12,5,10
8701,Sydney Swans,11,2012-06-09,2012,A,Essendon Bombers,5.3 8.6 11.8 13.8,86,1.5 1.11 2.15 11.16,82,W,4,Marvel Stadium,42785.0,13,8,11,16
8702,Sydney Swans,13,2012-06-22,2012,H,Geelong Cats,7.0 8.2 10.6 12.8,80,1.1 3.3 6.6 11.8,74,W,6,Sydney Cricket Ground,27400.0,12,8,11,8
8718,Sydney Swans,3,2013-04-13,2013,A,North Melbourne Kangaroos,3.4 5.6 16.10 20.11,131,4.2 7.8 8.11 13.14,92,W,39,Ninja Stadium,13221.0,20,11,13,14
8704,Sydney Swans,15,2012-07-07,2012,H,Brisbane Lions,4.2 10.7 15.12 16.14,110,3.4 7.4 8.7 9.9,63,W,47,Sydney Cricket Ground,19419.0,16,14,9,9
8705,Sydney Swans,16,2012-07-15,2012,A,West Coast Eagles,5.1 10.4 13.8 18.13,121,4.3 7.7 8.8 10.9,69,W,52,Domain Stadium,39152.0,18,13,10,9
8706,Sydney Swans,17,2012-07-22,2012,H,St Kilda Saints,1.6 5.13 9.13 15.15,105,5.1 5.4 7.9 10.16,76,W,29,Sydney Cricket Ground,26834.0,15,15,10,16
8708,Sydney Swans,19,2012-08-05,2012,A,Carlton Blues,4.4 8.6 11.8 14.9,93,3.1 5.3 6.6 10.11,71,W,22,Marvel Stadium,36942.0,14,9,10,11
8709,Sydney Swans,20,2012-08-11,2012,H,Collingwood Magpies,1.3 4.7 8.11 9.16,70,3.2 5.4 9.4 12.6,78,L,8,Accor Stadium,45827.0,9,16,12,6
8710,Sydney Swans,21,2012-08-19,2012,A,Western Bulldogs,3.2 10.5 16.9 26.11,167,6.2 8.3 11.5 13.7,85,W,82,Marvel Stadium,19396.0,26,11,13,7
8711,Sydney Swans,22,2012-08-25,2012,H,Hawthorn Hawks,4.3 8.5 10.7 14.11,95,0.1 7.6 10.11 15.12,102,L,7,Sydney Cricket Ground,31167.0,14,11,15,12
8712,Sydney Swans,23,2012-09-01,2012,A,Geelong Cats,4.5 5.8 7.12 11.12,78,4.3 7.5 12.7 17.10,112,L,34,GMHBA Stadium,20045.0,11,12,17,10
8713,Sydney Swans,QF,2012-09-08,2012,A,Adelaide Crows,2.2 7.2 8.4 11.5,71,1.3 2.7 3.10 5.12,42,W,29,AAMI Stadium,44849.0,11,5,5,12
8714,Sydney Swans,PF,2012-09-21,2012,H,Collingwood Magpies,5.5 7.9 9.14 13.18,96,2.3 3.6 5.8 10.10,70,W,26,Accor Stadium,57156.0,13,18,10,10
8715,Sydney Swans,GF,2012-09-29,2012,A,Hawthorn Hawks,1.4 7.4 10.5 14.7,91,4.5 4.6 9.10 11.15,81,W,10,Melbourne Cricket Ground,99683.0,14,7,11,15
8716,Sydney Swans,1,2013-03-30,2013,A,Greater Western Sydney Giants,4.5 9.7 12.9 16.10,106,0.4 5.4 7.8 11.10,76,W,30,Accor Stadium,23690.0,16,10,11,10
